OBJECTID,GNIS_ID,FREQUENCY,COUNT_Join,SUM_area_o
1,00205028,1,1,0.034900467842817
2,00205058,180,180,6.282957707029311
3,00205089,63,63,3.619705501103454
4,00205108,4,4,0.184897784143686
5,00205168,17,17,0.507890500826761
6,00205234,164,164,2.673160375670250
7,00205246,119,119,7.599075825647333
8,00205292,96,96,4.532949367031961
9,00205328,88,88,5.839741894458712
10,00205330,8,8,0.876328642851149
11,00205459,100,100,6.162782246694405
12,00205495,13,13,0.508390555576625
13,00205500,1,1,0.290337234735489
14,00205507,18,18,1.258168743452188
15,00205541,6,6,0.769416648894548
16,00205555,1,1,0.813577950000763
17,00205612,1,1,0.012998048216105
18,00205866,4,4,0.485890695359558
19,00206060,7,7,0.517873736098409
20,00206085,23,23,2.226172743365169
21,00206160,194,194,5.070634274881741
22,00206252,18,18,1.564386049238237
23,00206392,135,135,7.745647211145297
24,00206510,14,14,2.105956174433231
25,00206553,99,99,10.988971973369189
26,00206648,9,9,1.035607290716143
27,00206703,33,33,2.881296565359662
28,00207133,1,1,0.168027326464653
29,00207253,81,81,6.676312590807356
30,00207318,17,17,2.814184062553977
31,00207373,77,77,3.184623682152591
32,00207425,10,10,0.330949094797688
33,00207478,5,5,0.494229355826974
34,00207536,33,33,4.850997523310980
35,00207665,19,19,0.652444632327388
36,00207711,14,14,0.788235543666815
37,00207712,2,2,0.191930244676769
38,00207749,136,136,4.645951259330104
39,00207823,513,513,29.422206943818310
40,00207883,1,1,0.558755218982697
41,00208076,28,28,1.626712040415441
42,00208223,10,10,0.272826828411780
43,00208263,127,127,3.665106534143203
44,00208330,1,1,0.049525011330843
45,00208339,4,4,1.436857821419835
46,00208387,4,4,1.318167077562975
47,00208569,50,50,3.491517811267840
48,00208576,48,48,5.204828797963273
49,00208753,25,25,5.652303884853609
50,00208851,1,1,0.072471208870411
51,00209014,100,100,5.059409277808300
52,00209030,53,53,2.491436233183776
53,00209057,3,3,0.878174543380737
54,00209096,12,12,1.773443991034583
55,00209129,42,42,1.596128721423156
56,00209357,2,2,1.360420823097229
57,00209459,2,2,2.716445699334145
58,00209579,154,154,9.431061374139063
59,00209620,20,20,1.526473149657249
60,00209639,66,66,3.545496498159991
61,00209643,4,4,0.091644626900234
62,00209680,1,1,0.056939966976643
63,00209870,255,255,12.650358118732356
64,00209973,6,6,0.682700460776687
65,00210050,59,59,6.760883326362091
66,00210056,2,2,0.341326810419559
67,00210073,57,57,4.620262174807976
68,00210137,36,36,2.257091675557604
69,00210190,6,6,0.285716837504879
70,00210284,186,186,9.848556091770661
71,00210299,15,15,1.649570744019002
72,00210654,17,17,1.026775374961289
73,00210861,78,78,4.941156102315290
74,00210953,11,11,1.015334996263846
75,00211001,5,5,0.107365772651974
76,00211112,291,291,6.241980761442619
77,00211197,10,10,0.677275415509939
78,00211255,22,22,1.028093524404539
79,00211388,62,62,2.182910155985155
80,00211561,10,10,1.626676494437561
81,00211651,3,3,0.463515479117632
82,00211730,16,16,0.939486247316381
83,00211799,2,2,0.117719560861588
84,00211809,179,179,9.612699376761157
85,00211846,95,95,9.728498271189892
86,00211956,77,77,7.085824851877987
87,00211991,15,15,0.456687119414710
88,00212002,5,5,0.912810493260622
89,00212146,47,47,2.726050843157282
90,00212183,22,22,2.998053974471986
91,00212225,17,17,2.322524208342656
92,00212226,63,63,5.440238791285083
93,00212296,26,26,1.808433586480533
94,00212322,767,767,34.884825319873158
95,00212624,23,23,0.843015763675794
96,00212628,5,5,0.670981968472915
97,00212663,147,147,8.608220954098215
98,00212900,66,66,2.023494866807596
99,01218571,6,6,1.078568612236268
100,01770751,126,126,2.962960555356403
101,01771176,77,77,3.236807011217024
102,01771346,19,19,1.360260513702087
