OBJECTID,GNIS_ID,GNIS_Name,area_acre,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,area_buffe
1,205058,Alexander Lake,190,200,1,0.123872158,3.89149E-05,89
2,211388,Lake Terramuggus,81,200,2,0.060008335,1.95135E-05,45
3,1771346,Halls Pond,83,200,3,0.08607704,2.33372E-05,53
4,212183,Lake Winchester,248,200,4,0.167648024,5.36179E-05,122
5,211607,Turkey Hill Reservoir,24,200,5,0.036019331,1.09394E-05,25
6,211112,Squantz Pond,267,200,6,0.16818535,5.67843E-05,130
7,211651,Uncas Pond,32,200,7,0.041020815,1.2626E-05,29
8,210654,Saugatuck Reservoir,823,200,8,0.434167529,0.000135575,312
9,207712,Hatch Pond,20,200,9,0.042772987,1.3832E-05,32
10,208934,Millers Pond,30,200,10,0.044693844,1.46127E-05,33
11,212002,West Thompson Lake,189,200,11,0.137659601,4.13679E-05,94
12,209357,North Grosvenordale Pond,59,200,12,0.10743987,3.61749E-05,82
13,205612,Bog Meadow Reservoir,91,200,13,0.107429247,3.59745E-05,82
14,209096,Mount Tom Pond,55,200,14,0.054610323,1.7213E-05,39
15,205541,Bissonnette Pond,48,200,15,0.062364413,1.98145E-05,45
16,212663,Wangumbaug Lake,374,200,16,0.18358471,5.53571E-05,126
17,211846,Washining Lake,565,200,17,0.168314707,5.36582E-05,122
18,208076,Indian Lake,196,200,18,0.106758015,3.48712E-05,79
19,212628,Halls Pond,18,200,19,0.052070508,1.67558E-05,38
20,211991,West Side Pond,40,200,20,0.038908564,1.22223E-05,28
21,210284,Rogers Lake,275,200,21,0.189654312,5.85951E-05,135
22,210056,Quinebaug Pond,71,200,22,0.062257769,2.11169E-05,48
23,207133,Ford Pond,23,200,23,0.035443988,1.09478E-05,25
24,208387,Lantern Hill Pond,20,200,24,0.029758467,9.2737E-06,21
25,205234,Ball Pond,81,200,25,0.059928775,1.98261E-05,45
26,209057,Morris Reservoir,131,200,26,0.115166136,3.75199E-05,86
27,211607,Turkey Hill Reservoir,52,200,27,0.049623214,1.56313E-05,36
28,211255,Streets Pond,83,200,28,0.096037551,3.15218E-05,73
29,1218571,Killingly Pond,121,200,29,0.086566316,2.7469E-05,63
30,205246,Bantam Lake,956,200,30,0.297047515,9.85418E-05,225
31,209459,Lake Of Isles,91,200,31,0.09845372,3.02842E-05,69
32,212146,Williams Pond,250,200,32,0.180716073,5.5101E-05,126
33,209057,Morris Reservoir,3,200,33,0.018995758,6.55553E-06,15
34,205168,Avery Pond,46,200,34,0.039895902,1.26833E-05,29
35,208576,Long Pond,87,200,35,0.101118482,3.2608E-05,75
36,210299,Roseland Lake,96,200,36,0.065421105,2.13694E-05,49
37,209129,Mudge Pond,211,200,37,0.096374623,3.1605E-05,72
38,211197,Stillwater Pond,93,200,38,0.098418008,3.20281E-05,73
39,205459,Beseck Lake,113,200,39,0.081046025,2.66356E-05,61
40,207823,Highland Lake,448,200,40,0.252772212,8.18121E-05,186
41,209036,Morey Pond,30,200,41,0.041409445,1.36079E-05,31
42,207665,Hanover Reservoir,23,200,42,0.046057948,1.41825E-05,32
43,209411,Norwich Pond,29,200,43,0.035289834,1.13659E-05,26
44,211561,Lake Triangle,49,200,44,0.076163862,2.29169E-05,52
45,207883,Holbrook Pond,69,200,45,0.053000132,1.74185E-05,40
46,211956,West Hill Pond,246,200,46,0.107252413,3.49829E-05,80
47,206392,Columbia Lake,277,200,47,0.13445102,4.28185E-05,98
