awq,station,name,date,time,temp,cond,nlf_cond,spcond,tds,sal,do_pctsat,do_mgl,do_pctEU,psi,ph,ph_mv,orp_mV,orp_raw,depth,baro,chlor_rfu,chlor_mgl,bga_rfu,bga_microL
16012,UL-1,Uncas Lake,5/7/2019,11:00:13,15.03,33.2,41.6,41,27,0.02,113.6,11.45,112.8,0.927,7.41,-36.8,328.9,328.9,0.925,765.4,0.41,1.6,0.56,0.6
16012,UL-1,Uncas Lake,5/7/2019,11:01:15,14.205,32.6,41.7,41.1,27,0.02,111.5,11.43,110.7,2.369,7.38,-35.3,331.5,331.5,1.939,765.3,0.69,2.77,0.79,0.84
16012,UL-1,Uncas Lake,5/7/2019,11:02:11,12.973,32,42.2,41.5,27,0.02,99.2,10.46,98.5,3.75,7.11,-19.4,340.3,340.3,2.91,765.4,0.64,2.57,0.31,0.35
16012,UL-1,Uncas Lake,5/7/2019,11:03:08,11.466,31.2,42.9,42.1,27,0.02,89.3,9.74,88.6,5.252,6.6,9.7,344.8,344.8,3.966,765.4,0.35,1.36,0.12,0.15
16012,UL-1,Uncas Lake,5/7/2019,11:04:09,9.442,30.3,43.8,43,28,0.02,83.2,9.53,82.6,6.598,6.27,28.4,348.1,348.1,4.912,765.4,0.2,0.74,0.09,0.12
16012,UL-1,Uncas Lake,5/7/2019,11:05:15,8.056,29.3,44.1,43.4,28,0.02,76.7,9.08,76.2,8.163,6.15,34.9,350.9,350.9,6.012,765.3,0.14,0.5,0.11,0.14
16012,UL-1,Uncas Lake,5/7/2019,11:06:21,7.465,29,44.3,43.5,28,0.02,74,8.88,73.5,9.432,6.13,36,352.5,352.5,6.904,765.5,0.17,0.64,0.09,0.12
16012,UL-1,Uncas Lake,5/7/2019,11:07:39,7.267,29,44.5,43.8,28,0.02,69.8,8.42,69.3,10.887,6.09,37.8,354.5,354.5,7.927,765.3,0.15,0.53,0.07,0.1
16012,UL-1,Uncas Lake,5/7/2019,11:08:31,7.216,29,44.6,43.9,29,0.02,68.4,8.26,67.9,12.29,6.1,37.7,355.2,355.2,8.914,765.5,0.14,0.49,0.09,0.12
16012,UL-1,Uncas Lake,5/7/2019,11:09:31,7.177,29.1,44.9,44.1,29,0.02,66.8,8.07,66.3,13.642,6.07,39,356.7,356.7,9.864,765.6,0.07,0.21,0.06,0.09
16012,UL-1,Uncas Lake,5/7/2019,11:11:25,6.904,31.2,48.5,47.7,31,0.02,39,4.74,38.7,15.382,6.03,41.2,360.6,360.6,11.088,765.6,0.04,0.08,0.09,0.12
16010,PL-1,Powers Lake,5/7/2019,13:25:32,15.579,29.8,36.9,36.4,24,0.02,104.3,10.39,104,-0.001,6.68,5.5,182.8,182.8,0.271,762.1,0.03,0.06,0.05,0.08
16010,PL-1,Powers Lake,5/7/2019,13:27:08,15.555,29.8,36.9,36.3,24,0.02,104.2,10.38,103.9,0.976,6.67,6,186.8,186.8,0.959,762,0.18,0.67,0.06,0.09
16010,PL-1,Powers Lake,5/7/2019,13:28:07,15.53,29.8,36.9,36.4,24,0.02,104,10.36,103.7,2.373,6.66,6.5,189.7,189.7,1.942,761.9,0.29,1.14,0.09,0.12
16010,PL-1,Powers Lake,5/7/2019,13:29:13,15.386,29.7,36.9,36.3,24,0.02,103.5,10.35,103.2,3.867,6.65,7.1,192.8,192.8,2.993,762,0.42,1.66,0.1,0.13
19993,GP-1,Gorton Pond,5/7/2019,14:46:35,16.2,105.4,128.4,126.7,82,0.06,104.8,10.3,104.1,0.071,6.8,-1.5,216.5,216.5,0.322,765.3,0.11,0.38,0.06,0.09
19993,GP-1,Gorton Pond,5/7/2019,14:48:05,16.061,105.2,128.6,126.8,82,0.06,104.6,10.31,103.9,1.09,6.83,-3.4,217.6,217.6,1.039,765.4,0.19,0.7,0.06,0.09
19993,GP-1,Gorton Pond,5/7/2019,14:49:10,14.725,100.8,127.3,125.4,81,0.06,105.6,10.7,104.8,2.473,6.84,-3.8,220.3,220.3,2.012,765.4,0.21,0.81,0.08,0.11
20178,LHP-1,Lantern Hill Pond,5/13/2019,11:17:12,13.221,71.7,94.1,92.6,60,0.04,100.2,10.5,100.7,0.002,6.76,-2.9,290.8,290.8,0.273,756.2,0.1,0.33,0.04,0.07
20178,LHP-1,Lantern Hill Pond,5/13/2019,11:19:42,12.971,71,93.7,92.2,60,0.04,99.3,10.47,99.8,0.965,6.73,-1,288.8,288.8,0.951,756.1,0.2,0.75,0.06,0.1
20178,LHP-1,Lantern Hill Pond,5/13/2019,11:20:41,11.213,62.4,86.2,84.7,55,0.04,90.2,9.89,90.6,2.434,6.52,10.4,293.5,293.5,1.984,756.2,0.79,3.16,0.19,0.23
20178,LHP-1,Lantern Hill Pond,5/13/2019,11:21:38,10.519,63.5,89.4,87.8,57,0.04,85.4,9.52,85.9,3.838,6.4,17.2,298.5,298.5,2.971,756.1,0.45,1.77,0.17,0.2
20178,LHP-1,Lantern Hill Pond,5/13/2019,11:23:25,9.258,67.5,98.2,96.5,63,0.05,81.9,9.41,82.4,5.308,6.24,26,307.6,307.6,4.005,756.1,0.2,0.74,0.1,0.13
20178,LHP-1,Lantern Hill Pond,5/13/2019,11:24:52,7.503,69.7,106.5,104.7,68,0.05,76.6,9.18,77,6.611,6.04,36.8,315.4,315.4,4.92,755.9,0.06,0.16,0.07,0.1
20178,LHP-1,Lantern Hill Pond,5/13/2019,11:26:06,6.319,69.6,109.9,108.2,70,0.05,71.2,8.79,71.6,8.076,5.96,41.6,320,320,5.95,756.2,0.03,0.05,0.06,0.09
20178,LHP-1,Lantern Hill Pond,5/13/2019,11:28:34,5.702,67.9,109.2,107.5,70,0.05,61.6,7.72,61.9,9.527,5.94,42.2,323.3,323.3,6.97,756,-0.01,-0.09,0.05,0.08
20178,LHP-1,Lantern Hill Pond,5/13/2019,11:30:11,5.186,64.8,105.9,104.3,68,0.05,54.8,6.96,55.1,10.854,6.02,37.7,324.5,324.5,7.903,755.8,-0.02,-0.14,0.06,0.09
