Lake,SampleDate,STA_SEQ,YLat,XLong,Chlorophyll.a,Nitrogen,Phosphorus,Secchi,Season,Year,Total_Depth,Town
Silver Lake -1,5/27/2014,14525,41.5857,-72.7693,1.4,642,32,2.87,Spring,2014,3.78,Berlin
Silver Lake -1,8/28/2014,14525,41.5857,-72.7693,19.8,1292,60,0.69,Summer,2014,3.63,Berlin
Silver Lake -3,5/27/2014,14527,41.5808,-72.7723,1.1,179,19,3.35,Spring,2014,4.04,Berlin
Silver Lake -3,8/28/2014,14527,41.5808,-72.7723,34.5,1557,67,0.46,Summer,2014,4.88,Berlin
Silver Lake -4,5/27/2014,14528,41.5788,-72.7752,3,250,21,1.73,Spring,2014,1.73,Berlin
Silver Lake -4,8/28/2014,14528,41.5788,-72.7752,43.1,1587,60,0.46,Summer,2014,1.52,Berlin
Mashapaug Lake,5/13/2014,15085,42.0143,-72.132,0.7,26,7,5.74,Spring,2014,11.89,Union
Mashapaug Lake,7/29/2014,15085,42.0143,-72.132,0.7,133,6,6.32,Summer,2014,11.99,Union
Lake Waramaug -2,7/9/2015,15615,41.69783,-73.37084,11.7,438,20,2.34,Summer,2015,9.91,Washington
Lake Waramaug -2,7/26/2016,15615,41.69783,-73.37084,2.6,252,12,2.82,Summer,2016,9.45,Washington
Pachaug Pond,5/15/2014,15631,41.5816,-71.9266,3.3,317,17,1.68,Spring,2014,3.43,Griswold
Pachaug Pond,8/14/2014,15631,41.5816,-71.9266,2.3,278,17,2.54,Summer,2014,3.15,Griswold
Beseck Lake -2,7/25/2016,15705,41.5123,-72.7284,5.3,324,9,2.34,Summer,2016,7.04,Middlefield
Beseck Lake -1,7/25/2016,15706,41.5168,-72.73,4.9,341,9,2.26,Summer,2016,4.95,Middlefield
Squantz Pond,6/4/2015,15870,41.5115,-73.4728,2,261,18,2.44,Spring,2015,13.72,New Fairfield
Squantz Pond,5/12/2016,15870,41.5115,-73.4728,3.00,287,19,2.64,Spring,2016,13.89,New Fairfield
Squantz Pond,7/19/2016,15870,41.5115,-73.4728,2.3,229,7,4.78,Summer,2016,13.67,New Fairfield
East Twin Lake,5/19/2016,16007,42.0253,-73.3829,1.6,280,12,5.41,Spring,2016,24.00,Salisbury
East Twin Lake (Washining),8/4/2016,16007,42.0253,-73.3829,1.3,286,11,5.44,Summer,2016,23.77,Salisbury
Gardner Lake,5/15/2014,16008,41.5075,-72.222,6,168,17,2.82,Spring,2014,12.22,Montville
Gardner Lake,7/31/2014,16008,41.5075,-72.222,2.5,359,15,2.51,Summer,2014,12.19,Montville
Gardner Lake,6/25/2015,16008,41.5075,-72.222,2.7,285,20,3.23,Spring,2015,12.50,Montville
Gardner Lake,9/3/2015,16008,41.5075,-72.222,2.1,229,16,4.01,Summer,2015,12.19,Montville
Tyler Lake,5/16/2016,16011,41.8374,-73.2606,2.7,468,16,5.36,Spring,2016,7.16,Goshen
Tyler Lake,7/20/2016,16011,41.8374,-73.2606,7.9,386,11,2.59,Summer,2016,7.09,Goshen
Halls Pond ,5/12/2014,16150,41.843286,-72.108528,2,125,15,3.66,Spring,2014,3.66,Eastford
Halls Pond ,7/30/2014,16150,41.843286,-72.108528,4.1,386,16,2.54,Summer,2014,3.81,Eastford
Wononscopomuc Lake,5/19/2016,16154,41.9553,-73.4448,1.5,301,14,4.04,Spring,2016,30.25,Salisbury
Wononscopomuc Lake,8/4/2016,16154,41.9553,-73.4448,0.9,300,13,6.93,Summer,2016,29.87,Salisbury
Winchester Lake,5/4/2016,16156,41.911243,-73.1518,2.4,212,13,3.43,Spring,2016,4.57,Winchester
Winchester Lake,7/18/2016,16156,41.911243,-73.1518,3.1,188,4,3.76,Summer,2016,5.26,Winchester
Roseland Lake,5/28/2014,16184,41.95,-71.951,23.3,595,40,1.37,Spring,2014,5.79,Woodstock
