name,town,awq,lat,long,date,secchi_m,tdepth_m
Gorton Pond,East Lyme,19993,41.3422,-72.2101,5/7/2019,2.35,2.35
Powers Lake,East Lyme,16010,41.3925,-72.2503,5/7/2019,3.7,3.9
Uncas Lake,Lyme,16012,41.3728,-72.3188,5/7/2019,1.8,11.9
Lantern Hill Pond,Ledyard/North Stonington,20178,41.45826,-71.94677,5/13/2019,2.4,9.9
Long Pond,"North Stonington, Ledyard",19334,41.446,-71.947,5/13/2019,2.85,20.1
West Hill Pond,New Hartford,16165,41.877022,-73.043053,5/30/2019,6.6,17.7
Highland Lake,Winchester,18156,41.911818,-73.09428,5/30/2019,2.6,18.4
Mashapaug Lake,Union,15085,42.0143,-72.132,6/6/2019,3.9,12
Morey Pond,"Union, Ashford",19346,41.96,-72.192,6/6/2019,2.7,3.7
Wonoscupomuc Lake,Salisbury,16154,41.9553,-73.4448,6/25/2019,3.7,30.9
