STA_SEQ,YLat,XLong
16181,41.922621,-72.219298
18201,41.711559,-72.330422
16165,41.877022,-73.043053
16184,41.95,-71.95100000000001
18202,41.775056,-71.88817900000001
18377,41.33891,-72.48376
16150,41.843286,-72.108528
18374,41.67644,-73.14487
18376,41.65365,-73.210217
18271,41.801118,-72.435286
18375,41.896243,-73.447374
15864,42.021,-73.4816
18149,41.490909,-72.411045
16349,41.6835,-73.4777
18156,41.911818,-73.09428
18154,41.935883000000004,-72.37233499999999
18650,41.70075,-73.2777
18651,41.69942,-73.27969
15085,42.0143,-72.132
15631,41.5816,-71.9266
16008,41.5075,-72.222
14525,41.5857,-72.7693
14527,41.5808,-72.7723
14528,41.5788,-72.7752
18676,41.86169,-71.89953
18677,41.854686,-71.907175
18929,41.5793,-71.86052
15870,41.5115,-73.4728
18153,41.770584,-72.321969
18934,41.37493,-72.22935
15615,41.697829999999996,-73.37084
18947,41.69186,-73.34863
18948,41.83487,-73.14888
18949,41.89215,-73.1461
18950,41.69983,-73.22081999999999
18951,41.7121,-73.20954
18953,41.63612,-72.46783
18954,41.559459999999994,-72.22971
16156,41.911243,-73.1518
18148,41.462953000000006,-73.523721
16011,41.8374,-73.2606
19028,41.85516,-73.25655
16007,42.0253,-73.3829
16154,41.9553,-73.4448
19031,41.698054,-73.359274
15705,41.5123,-72.7284
15706,41.5168,-72.73
19095,41.530590000000004,-73.15432
19662,41.533623,-73.15237900000001
19803,41.857094000000004,-72.29829699999999
19304,41.508,-71.875
19760,41.950671,-73.46560500000001
16188,41.387,-73.176
19939,41.138999999999996,-73.62286
15614,41.868925,-73.0977
19359,41.36,-72.301
18150,41.524516,-72.74313599999999
19356,41.39,-72.69800000000001
15626,41.521,-72.3297
15873,41.5036,-72.4071
20052,41.51449,-72.42336
16006,41.9928,-72.131
19306,41.401,-72.499
20053,41.40927,-72.52472
16010,41.3925,-72.2503
16012,41.3728,-72.3188
19993,41.3422,-72.2101
19334,41.44948,-71.94939000000001
20178,41.458259999999996,-71.94677
19346,41.96,-72.192
19350,41.38518,-72.30211
19330,41.48946,-71.94853
16030,41.5162,-71.9747
19319,41.558040000000005,-71.88815
14614,41.5961,-72.5081
14615,41.5999,-72.4953
15621,41.5777,-71.7909
19300,41.493,-71.979
19321,41.530570000000004,-71.80975
20271,41.73467,-71.866
15868,41.7851,-72.2816
20230,41.863,-71.794
