STA_SEQ,YLat,XLong,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,HydroID,DrainID,Strahler,StrMi,SqMi,Dam,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI,bcg2_basin
18676,41.86169,-71.89953,205058,Alexander Lake,0.767,251,109002787,109002787,1,1.619122,1.06618,0,0.4,3065,12528,0,4.087438825,47.76539696,0.066505638,0.6188,0,9.304474318,0,0,2,3,1,1,7,2,
18677,41.854686,-71.907175,205058,Alexander Lake,0.767,251,109002787,109002787,1,1.619122,1.06618,0,0.4,3065,12528,0,4.087438825,47.76539696,0.066505638,0.6188,0,9.304474318,0,0,2,3,1,1,7,2,
18953,41.63612,-72.46783,211388,Lake Terramuggus,0.329,454,106002762,106002762,1,1,0.63,0,0,1815,12404,0,6.83415978,0.8096394,0.004502833,0,0,0,0,0,3,1,1,1,6,2,1
16150,41.843286,-72.108528,1771346,Halls Pond,0.336,514,107002143,107002143,3,4.378694,1.338775,1,0,3849,499,0,0.129644063,8.500120569,0.036752519,0,0,0,0,0.228378599,1,1,3,1,6,2,1
16156,41.911243,-73.1518,212183,Lake Winchester,1.004,1249,103004262,103004262,2,4.1,2.157666604,0,0,6437,1087,0,0.168867485,0,0.002194777,0,0,0,0,0,1,1,1,1,4,1,
15870,41.5115,-73.4728,211112,Squantz Pond,1.08,429,103014034,103014034,3,10.97691529,5.541088608,2,0,16463,12708,0,0.771912774,0,0.006897613,0,0,0,0,0.18220055,1,1,3,1,6,2,
18650,41.70075,-73.2777,209096,Mount Tom Pond,0.223,879,103009793,103009793,2,2.05,0.84,0,0,2565,4507,0,1.75711501,0.4919328,0.004967987,0,0,0,0,0,1,1,1,1,4,1,
18651,41.69942,-73.27969,209096,Mount Tom Pond,0.223,879,103009793,103009793,2,2.05,0.84,0,0,2565,4507,0,1.75711501,0.4919328,0.004967987,0,0,0,0,0,1,1,1,1,4,1,
16181,41.922621,-72.219298,205541,Bissonnette Pond,0.196,674,107002894,107002894,3,12.185675,4.206534,2,0,12114,17531,0,1.447168565,3.550981566,0.095064226,0,0,0,0,0.164127141,1,1,3,1,6,2,1
18153,41.770584,-72.321969,212663,Wangumbaug Lake,1.515,515,107001312,107001312,3,6.928802,3.014584,0,0,8683,48595,0,5.596568006,1,0.03350657,0,0,0,0,0,3,1,1,1,6,2,
16007,42.0253,-73.3829,211846,Washining Lake,2.288,223,103003380,103003380,2,4.06,4.091581872,0,0,11867,3582,0,0.301845454,0,0.004773063,0,0,0,0,0,1,1,1,1,4,1,
19803,41.857094,-72.298297,212628,Halls Pond,0.072,406,107002222,107002222,3,13.846902,3.718762,3,0,10712,9584,0,0.894697535,22.82430356,0.208951511,0,0,0,0,0.21665496,1,1,3,1,6,2,
19028,41.85516,-73.25655,211991,West Side Pond,0.163,1280,103005627,103005627,2,7.53255096,3.422363112,0,0,10241,5044,0,0.492530026,0,0.003842601,0,0,0,0,0,1,1,1,1,4,1,
19359,41.36,-72.301,210284,Rogers Lake,1.114,36,106000622,106000622,4,16.38,7.724777,1,0,22713,29929,0,1.317703518,13.28126167,0.386418567,0,0,0,0,0.061050061,1,1,2,1,5,1,
18202,41.775056,-71.888179,210056,Quinebaug Pond,0.288,197,109003090,109003090,1,1.129366,1.32283,0,0,3803,18227,0,4.792795162,35.77459977,0.074705688,0,0,0,0,0,2,1,1,1,5,1,
20178,41.45826,-71.94677,208387,Lantern Hill Pond,0.081,116,108001221,108001221,3,6.534759,2.120467,1,0,6102,15435,0,2.529499,18.486998,0.095004,0,0,0,0,0.153028,2,1,3,1,7,2,
18148,41.462953,-73.523721,205234,Ball Pond,0.327,776,103015310,103015310,1,0.64,0.38,0,0,1100,7291,0,6.628181818,0,0.000266511,0,0,0,0,0,3,1,1,1,6,2,
18374,41.67644,-73.14487,209057,Morris Reservoir,0.529,652,103010496,103010496,4,24.29450474,7.914594561,3,20.09,24109,15362,0,0.637189431,0,0.010633647,31.08382358,0,2923.157288,0,0.123484715,1,3,3,1,8,2,
20230,41.863,-71.794,1218571,Killingly Pond,0.488,587,109002739,109002739,2,3.809237,1.585678,1,0,4580,1920,0,0.419213974,7.903416263,0.043512133,0,0,0,0,0.262519764,1,1,3,1,6,2,
18950,41.69983,-73.22082,205246,Bantam Lake,3.867,894,103009488,103009488,5,88.49140968,30.93380824,3,1.49,94239,159426,0,1.691719989,2.999436014,0.984283092,2.305370689,0,2.342182556,0,0.033901596,1,3,2,1,7,2,
18951,41.7121,-73.20954,205246,Bantam Lake,3.867,894,103009488,103009488,5,88.49140968,30.93380824,3,1.49,94239,159426,0,1.691719989,2.999436014,0.984283092,2.305370689,0,2.342182556,0,0.033901596,1,3,2,1,7,2,
19330,41.48946,-71.94853,209459,Lake Of Isles,0.369,255,108000957,108000957,2,2.269756,0.699634,1,0,2010,61,0,0.030348259,5.42174234,0.013327341,0,0,0,0,0.440575991,1,1,3,1,6,2,
19300,41.493,-71.979,205168,Avery Pond,0.185,115,108000888,108000888,4,10.115619,3.094278,0,0,8911,19816,0,2.223768376,28.75982013,0.187792686,0,0,0,0,0,2,1,1,1,5,1,
19334,41.44948,-71.94939,208576,Long Pond,0.351,96,108001352,108001352,2,2.633661,0.764881,0,0,2200,831,0,0.377727,5.444646,0.014883,0,0,0,0,0,1,1,1,1,4,1,
16184,41.95,-71.951,210299,Roseland Lake,0.39,286,109002260,109002260,5,79.625,30.299495,1,3.31,87198,70862,0,0.812656254,10.55968718,1.809354824,5.12057,0,2.830052974,0,0.01255887,1,3,2,1,7,2,
18948,41.83487,-73.14888,211197,Stillwater Pond,0.378,738,103006106,103006106,4,59.22127657,23.33806036,8,0,70209,29161,0,0.415345611,1.743867753,0.532007552,0,0,0,0,0.135086585,1,1,3,1,6,2,
15705,41.5123,-72.7284,205459,Beseck Lake,0.457,315,106001880,106001880,3,5.24,2.21,3,11.55,6520,27154,0,4.164723926,2.743037856,0.038208855,17.87049091,0,467.7054872,0,0.572519084,2,3,3,1,9,3,
15706,41.5168,-72.73,205459,Beseck Lake,0.457,315,106001880,106001880,3,5.24,2.21,3,11.55,6520,27154,0,4.164723926,2.743037856,0.038208855,17.87049091,0,467.7054872,0,0.572519084,2,3,3,1,9,3,
18156,41.911818,-73.09428,207823,Highland Lake,1.814,881,105001802,105001802,3,12.56,7.01,4,7.7,20443,40719,0,1.991830945,0.916470764,0.089331658,11.91366061,0,133.3643742,0,0.318471338,1,3,3,1,8,2,
19346,41.96,-72.192,209036,Morey Pond,0.123,957,107003230,107003230,2,2.479874,0.760328,1,0,2199,6873,0,3.125511596,1,0.006292501,0,0,0,0,0.403246294,2,1,3,1,7,2,
19350,41.38518,-72.30211,209411,Norwich Pond,0.119,0,106000795,106000795,2,1.87,0.72,0,0,2136,117,0,0.054775281,19.44444444,0.02625752,0,0,0,0,0,1,1,1,1,4,1,
16165,41.877022,-73.043053,211956,West Hill Pond,0.994,938,105001642,105001642,2,2.44,1.26,1,0,3683,4363,0,1.184632093,0,0.001142247,0,0,0,0,0.409836066,1,1,3,1,6,2,1
