"Lake","SampleDate","STA_SEQ","YLat","XLong","Chlorophyll.a","Nitrogen","Phosphorus","Secchi","Year","Total_Depth","Town","Season"
"Bissonnette Pond Deep Hole",2012-06-20,"16181",41.922621,-72.219298,3.664,216,19,1.92,2012,1.92,"WILLINGTON","Summer"
"Columbia Lake",2012-06-26,"18201",41.711559,-72.330422,3.432,238,10,4.19,2012,6.7,"COLUMBIA","Summer"
"West Hill Pond",2012-06-28,"16165",41.877022,-73.043053,1.52,176,7,6.85,2012,19.3,"NEW HARTFORD","Summer"
"Roseland Lake",2012-07-11,"16184",41.95,-71.951,28.404,825,48,1.45,2012,5.7,"WOODSTOCK","Summer"
"Quinebaug Pond",2012-07-17,"18202",41.775056,-71.888179,2.112,255,5,4.35,2012,9.2,"KILLINGLY","Summer"
"Messerschmidt Pond",2012-07-25,"18377",41.33891,-72.48376,4.277333333,244,18,2.25,2012,4.5,"WESTBROOK","Summer"
"Halls Pond",2012-08-01,"16150",41.843286,-72.108528,2.82,278,15,3.73,2012,3.9,"EASTFORD","Summer"
"Morris Reservoir NLA2007,  NLA2012, NLA2017",2012-08-09,"18374",41.67644,-73.14487,2.324,205,19,4.65,2012,23.6,"MORRIS","Summer"
"Long Meadow Pond NLA2012 Deep Hole",2012-08-15,"18376",41.65365,-73.210217,7.84,311,28,2.5,2012,2.5,"BETHLEHEM","Summer"
"Lower Bolton Lake",2012-08-28,"18271",41.801118,-72.435286,26.6,971,21,0.6096,2012,5.9436,"BOLTON","Summer"
"Bissonnette Pond Deep Hole",2012-08-29,"16181",41.922621,-72.219298,9.84,484,37,1.5,2012,2.5,"WILLINGTON","Summer"
"Columbia Lake",2012-09-06,"18201",41.711559,-72.330422,4.16,285,14,4.7,2012,6.7,"COLUMBIA","Summer"
"Beardsley Pond Deep Hole",2012-09-12,"18375",41.896243,-73.447374,26.08,763,69,1.1,2012,7.5,"SHARON","Summer"
"Riga Lake",2012-09-19,"15864",42.021,-73.4816,1.28,111,4,5.8,2012,5.8,"SALISBURY","Summer"
"Bashan Lake",2012-09-20,"18149",41.490909,-72.411045,1.26,199,8,3.6576,2012,14.7828,"EAST HADDAM","Other"
"Hatch Pond",2012-09-26,"16349",41.6835,-73.4777,14.8,688,26,1.7018,2012,5.334,"KENT","Other"
"West Hill Pond",2013-05-14,"16165",41.877022,-73.043053,1.2,201,11,6.4008,2013,18.0594,"NEW HARTFORD","Spring"
"Highland Lake",2013-05-14,"18156",41.911818,-73.09428,1.9,253,15,4.7244,2013,18.288,"WINCHESTER","Spring"
"Crystal Lake",2013-05-15,"18154",41.935883,-72.372335,1.5,238,10,5.7912,2013,13.2588,"ELLINGTON","Spring"
"Quinebaug Pond",2013-05-15,"18202",41.775056,-71.888179,1.8,301,11,5.6388,2013,9.144,"KILLINGLY","Spring"
"Bashan Lake",2013-05-16,"18149",41.490909,-72.411045,1.9,177,7,3.7592,2013,14.8336,"EAST HADDAM","Spring"
"Messerschmidt Pond",2013-05-23,"18377",41.33891,-72.48376,12.3,276,16,2.1082,2013,4.4704,"WESTBROOK","Spring"
"Highland Lake",2013-07-30,"18156",41.911818,-73.09428,1.9,216,13,2.921,2013,18.5928,"WINCHESTER","Summer"
"Mount Tom Pond",2013-09-11,"18650",41.70075,-73.2777,5.8,421,17,2.0828,2013,13.7668,"LITCHFIELD","Summer"
"Mount Tom Pond",2013-09-11,"18651",41.69942,-73.27969,2.7,398,20,2.1844,2013,8.5852,"LITCHFIELD","Summer"
"Bashan Lake",2013-09-12,"18149",41.490909,-72.411045,0.9,161,6,6.3754,2013,15.0114,"EAST HADDAM","Summer"
"Halls Pond",2014-05-12,"16150",41.843286,-72.108528,2,125,15,3.6576,2014,3.6576,"EASTFORD","Spring"
"Mashapaug Pond",2014-05-13,"15085",42.0143,-72.132,0.7,26,7,5.7404,2014,11.8872,"UNION","Spring"
"Crystal Lake",2014-05-13,"18154",41.935883,-72.372335,1.2,202,10,5.1816,2014,13.3096,"ELLINGTON","Spring"
"Pachaug Pond",2014-05-15,"15631",41.5816,-71.9266,3.3,317,17,1.6764,2014,3.429,"GRISWOLD","Spring"
"Gardner Lake",2014-05-15,"16008",41.5075,-72.222,6,168,17,2.8194,2014,12.2174,"MONTVILLE","Spring"
"Silver Lake",2014-05-27,"14525",41.5857,-72.7693,1.4,642,32,2.8702,2014,3.7846,"BERLIN","Spring"
"Silver Lake",2014-05-27,"14527",41.5808,-72.7723,1.1,179,19,3.3528,2014,4.0386,"BERLIN","Spring"
"Silver Lake",2014-05-27,"14528",41.5788,-72.7752,3,250,21,1.7272,2014,1.7272,"BERLIN","Spring"
"Bashan Lake",2014-05-27,"18149",41.490909,-72.411045,1.1,89,8,4.8768,2014,14.9352,"EAST HADDAM","Spring"
"Roseland Lake",2014-05-28,"16184",41.95,-71.951,23.3,595,40,1.3716,2014,5.7912,"WOODSTOCK","Spring"
"Quinebaug Pond",2014-05-28,"18202",41.775056,-71.888179,1.6,141,11,6.4008,2014,9.7536,"KILLINGLY","Spring"
"Alexander Lake",2014-06-03,"18676",41.86169,-71.89953,1.5,236,12,7.9248,2014,11.8872,"KILLINGLY","Spring"
"Alexander Lake",2014-06-03,"18677",41.854686,-71.907175,1.1,208,11,7.62,2014,14.0208,"KILLINGLY","Spring"
"Columbia Lake",2014-06-11,"18201",41.711559,-72.330422,4.2,244,13,4.7244,2014,7.239,"COLUMBIA","Spring"
"Mashapaug Pond",2014-07-29,"15085",42.0143,-72.132,0.7,133,6,6.3246,2014,11.9888,"UNION","Summer"
"Halls Pond",2014-07-30,"16150",41.843286,-72.108528,4.1,386,16,2.54,2014,3.81,"EASTFORD","Summer"
"Crystal Lake",2014-07-30,"18154",41.935883,-72.372335,1.8,264,7,5.5118,2014,13.0048,"ELLINGTON","Summer"
"Gardner Lake",2014-07-31,"16008",41.5075,-72.222,2.5,359,15,2.5146,2014,12.192,"MONTVILLE","Summer"
"Columbia Lake",2014-07-31,"18201",41.711559,-72.330422,4.6,272,8,3.6068,2014,7.3152,"COLUMBIA","Summer"
"Pachaug Pond",2014-08-14,"15631",41.5816,-71.9266,2.3,278,17,2.54,2014,3.1496,"GRISWOLD","Summer"
"Beachdale Pond",2014-08-14,"18929",41.5793,-71.86052,1,603,61,1.2954,2014,2.4384,"VOLUNTOWN","Summer"
"Roseland Lake",2014-08-20,"16184",41.95,-71.951,6,425,30,1.8796,2014,5.4102,"WOODSTOCK","Summer"
"Silver Lake",2014-08-28,"14525",41.5857,-72.7693,19.8,1292,60,0.6858,2014,3.6322,"BERLIN","Summer"
"Silver Lake",2014-08-28,"14527",41.5808,-72.7723,34.5,1557,67,0.4572,2014,4.8768,"BERLIN","Summer"
"Silver Lake",2014-08-28,"14528",41.5788,-72.7752,43.1,1587,60,0.4572,2014,1.524,"BERLIN","Summer"
"Bashan Lake",2014-08-28,"18149",41.490909,-72.411045,1.5,237,7,4.8514,2014,14.7828,"EAST HADDAM","Summer"
"Quinebaug Pond",2014-09-03,"18202",41.775056,-71.888179,1,244,10,5.6134,2014,8.7122,"KILLINGLY","Summer"
"Alexander Lake",2014-09-03,"18676",41.86169,-71.89953,1.7,305,10,5.1054,2014,14.859,"KILLINGLY","Summer"
"Alexander Lake",2014-09-03,"18677",41.854686,-71.907175,1.9,290,9,5.1816,2014,13.3858,"KILLINGLY","Summer"
