name,town,awq,lat,long,date,secchi_m,tdepth_m
Bissonnette Pond,WILLINGTON,16181,41.922621,-72.219298,2012-06-20,1.92,1.90
Columbia Lake,COLUMBIA,18201,41.711559,-72.330422,2012-06-26,4.19,6.70
West Hill Pond,NEW HARTFORD,16165,41.877022,-73.043053,2012-06-28,6.85,19.30
Roseland Lake,WOODSTOCK,16184,41.950000,-71.951000,2012-07-11,1.45,5.70
Quinebaug Pond (Wauregan Reservoir),KILLINGLY,18202,41.775056,-71.888179,2012-07-17,4.35,9.20
Messerschmidt Pond,WESTBROOK,18377,41.338910,-72.483760,2012-07-25,2.25,4.50
Halls Pond,EASTFORD,16150,41.843286,-72.108528,2012-08-01,3.73,3.90
Morris Reservoir,MORRIS,18374,41.676440,-73.144870,2012-08-09,4.65,23.60
Long Meadow Pond,BETHLEHEM,18376,41.653650,-73.210217,2012-08-15,2.50,2.50
Bissonnette Pond,WILLINGTON,16181,41.922621,-72.219298,2012-08-29,1.50,2.50
Columbia Lake,COLUMBIA,18201,41.711559,-72.330422,2012-09-06,4.70,6.70
Beardsley Pond,SHARON,18375,41.896243,-73.447374,2012-09-12,1.10,6.30
Lower Bolton Lake,BOLTON,18271,41.801118,-72.435286,2012-08-28,0.61,5.94
Bashan Lake,EAST HADDAM,18149,41.490909,-72.411045,2012-09-20,3.66,14.78
Hatch Pond,KENT,16349,41.683500,-73.477700,2012-09-26,1.70,5.33
West Hill Pond,NEW HARTFORD,16165,41.877022,-73.043053,2013-05-14,6.40,18.06
Highland Lake,WINCHESTER,18156,41.911818,-73.094280,2013-05-14,4.72,18.29
Quinebaug Pond (Wauregan Reservoir),KILLINGLY,18202,41.775056,-71.888179,2013-05-15,5.64,9.14
Crystal Lake,ELLINGTON,18154,41.935883,-72.372335,2013-05-15,5.79,13.26
Bashan Lake,EAST HADDAM,18149,41.490909,-72.411045,2013-05-16,3.76,14.83
Messerschmidt Pond,WESTBROOK,18377,41.338910,-72.483760,2013-05-23,2.11,4.47
Highland Lake,WINCHESTER,18156,41.911818,-73.094280,2013-07-30,2.92,18.59
Mount Tom Pond,LITCHFIELD,18650,41.700750,-73.277700,2013-09-11,2.08,13.77
Mount Tom Pond,LITCHFIELD,18651,41.699420,-73.279690,2013-09-11,2.18,8.59
Bashan Lake,EAST HADDAM,18149,41.490909,-72.411045,2013-09-12,6.38,15.01
Halls Pond,EASTFORD,16150,41.843286,-72.108528,2014-05-12,3.66,3.66
Mashapaug Pond,UNION,15085,42.014300,-72.132000,2014-05-13,5.74,11.89
Crystal Lake,ELLINGTON,18154,41.935883,-72.372335,2014-05-13,5.18,13.31
Pachaug Pond,GRISWOLD,15631,41.581600,-71.926600,2014-05-15,1.68,3.43
Gardner Lake,MONTVILLE,16008,41.507500,-72.222000,2014-05-15,2.82,12.22
Silver Lake,BERLIN,14527,41.580800,-72.772300,2014-05-27,3.35,4.04
Silver Lake,BERLIN,14525,41.585700,-72.769300,2014-05-27,2.87,3.78
Silver Lake,BERLIN,14528,41.578800,-72.775200,2014-05-27,1.73,1.73
Bashan Lake,EAST HADDAM,18149,41.490909,-72.411045,2014-05-27,4.88,14.94
Roseland Lake,WOODSTOCK,16184,41.950000,-71.951000,2014-05-28,1.37,5.79
Quinebaug Pond (Wauregan Reservoir) (Wauregan Reservoir),KILLINGLY,18202,41.775056,-71.888179,2014-05-28,6.40,9.75
Alexander Lake,KILLINGLY,18676,41.861690,-71.899530,2014-06-03,7.92,11.89
Alexander Lake,KILLINGLY,18677,41.854686,-71.907175,2014-06-03,7.62,14.02
Columbia Lake,COLUMBIA,18201,41.711559,-72.330422,2014-06-11,4.72,7.24
Mashapaug Pond,UNION,15085,42.014300,-72.132000,2014-07-29,6.32,11.99
Halls Pond,EASTFORD,16150,41.843286,-72.108528,2014-07-30,2.54,3.81
Crystal Lake,ELLINGTON,18154,41.935883,-72.372335,2014-07-30,5.51,13.00
Gardner Lake,MONTVILLE,16008,41.507500,-72.222000,2014-07-31,2.51,12.19
Columbia Lake,COLUMBIA,18201,41.711559,-72.330422,2014-07-31,3.61,7.32
Beachdale Pond,VOLUNTOWN,18929,41.579300,-71.860520,2014-08-14,1.30,2.44
Pachaug Pond,GRISWOLD,15631,41.581600,-71.926600,2014-08-14,2.54,3.15
