Name,staSeq,Report_Cou,Citation,Launch_Type,Proximity,Municipality,YLat,XLong,hydroID,GNIS_ID,GNIS_NAME,AREA_SQKM,ELEV,EF,featureID,NextDown,SqMi,CFPct85,CFPct90,CFPct95,CFPct02,CFPct06,CFPct10,CFPct15,DevPct85,DevPct90,DevPct95,DevPct02,DevPct06,DevPct10,DevPct15
Silver Lake,14527,3,"1,2,4",State of CT - Trailered,south northern island,BERLIN,41.5808,-72.7723,201493780,210861,Silver Lake,0.57,150,Moderate,201493780,201493424,2.805649,0.261119632,0.246037832,0.240797546,0.226354806,0.231083845,0.228911043,0.221881391,0.202837423,0.223670757,0.226099182,0.252811861,0.263420245,0.263420245,0.263675869
Candlewood Lake,14603,3,"1,2,4",State of CT - Trailered,from entire lake,NEW FAIRFIELD,41.4641,-73.4424,,,,,,,201494965,201494915,0.6651,0.415766739,0.289416847,0.266198704,0.273218143,0.377429806,0.359071274,0.374190065,0.070194384,0.071274298,0.076133909,0.076673866,0.076673866,0.076673866,0.07937365
Mashapaug Pond,15085,3,"1,2,4",State of CT - Trailered,MP-1: at deepest point,UNION,42.0143,-72.132,201486141,208753,Mashapaug Pond,1.21,0,Low,201486141,1813374605,5.238443,0.596314564,0.583710097,0.582203042,0.572201671,0.569872585,0.571653651,0.571653651,0.067886012,0.071722154,0.074256747,0.075421291,0.075489793,0.075489793,0.075558296
Lake Hayward,15626,4,"1,2,3,4",State of CT - Trailered,at deepest part of lake,EAST HADDAM,41.521,-72.3297,201493617,207749,Lake Hayward,0.7,348,,201493617,1410454153,3.434264,0.449550867,0.436390224,0.382180907,0.340087738,0.302799248,0.308021726,0.30687278,0.109045331,0.11405891,0.12784625,0.14184249,0.148422812,0.148422812,0.148422812
Lake Beseck,15706,4,"1,2,3,4",State of CT - Trailered,at Mid lake adjacent to boat ramp,MIDDLEFIELD,41.5168,-72.73,201494330,205459,Beseck Lake,0.46,315,Moderate,201494330,604482947,2.615921,0.295940757,0.283461327,0.263302249,0.266182117,0.206527702,0.258365332,0.256856829,0.156884257,0.160312671,0.163466813,0.163878223,0.167580911,0.168540867,0.169775096
Linsley Pond,15723,3,"1,2,4",NA,at Pond center - greatest depth,NORTH BRANFORD,41.3181,-72.7844,,,,,,,201496083,201496230,1.053943,0.115764385,0.107592782,0.107252298,0.108954716,0.105890364,0.105549881,0.105549881,0.335376234,0.357848144,0.361252979,0.362955397,0.364317331,0.364657814,0.372488934
East Twin Lake (Washinee Lake),16007,4,"1,2,3,4",State of CT - Car Top/Carry-In,at deepest area,SALISBURY,42.0253,-73.3829,201489289,211846,Washining Lake,2.29,223,Low,201489289,604467890,4.222028,0.334438494,0.328232594,0.318711213,0.308849783,0.310890079,0.305364278,0.311145116,0.0675848,0.069115022,0.069625096,0.072770552,0.072855564,0.072855564,0.072940576
Gardner Lake,16008,4,"1,2,3,4",State of CT - Trailered,GL-1: 300 ft north Minnie Island State Park (deep hole),MONTVILLE,41.5075,-72.222,201493077,207253,Gardner Lake,2.13,382,Low,201493077,1813438269,5.529988,0.28895809,0.265213442,0.253925003,0.234397301,0.226352666,0.22734148,0.228688206,0.105164136,0.113143895,0.11489555,0.118398858,0.12002076,0.120993902,0.121253406
Powers Lake,16010,3,"1,2,4",State of CT - Trailered,approximately 1800 ft north dam (deep hole),EAST LYME,41.3925,-72.2503,201494804,209973,Powers Lake,0.59,0,,201494804,604484624,2.533564,0.569568294,0.558952583,0.540410474,0.516631281,0.478697806,0.484784147,0.481245577,0.042179759,0.044444444,0.045576787,0.0482661,0.064543524,0.065251238,0.069497523
Wononscopomuc Lake,16154,4,"1,2,3,4",NA,at deepest part of lake,SALISBURY,41.9553,-73.4448,201490320,212226,Wononskopomuc Lake,1.41,724,Moderate,201490320,604470797,3.082948,0.101093532,0.094695207,0.08015356,0.093182876,0.097487203,0.08969288,0.096672871,0.153676128,0.159492787,0.15995812,0.161586785,0.166240112,0.166240112,0.16728711
